date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:27:54	17624/17624	URF---	200	added ('OK%20(cached)')	image/jpeg		http://huda-matte.com/files/huda_beauty_1/img/lips-4.jpg	/home/abbyz/websites/HUDA%20BEAUTY%20LIQUID%202/web/images/lips-4.jpg	(from http://huda-matte.com/)
13:27:54	22112/22112	URF---	200	added ('OK%20(cached)')	image/jpeg		http://huda-matte.com/files/huda_beauty_1/img/tov-2.jpg	/home/abbyz/websites/HUDA%20BEAUTY%20LIQUID%202/web/images/tov-2.jpg	(from http://huda-matte.com/)
13:27:54	17888/17888	---M--	200	added ('OK')	application/octet-stream	etag:%225a16c4f0-45e0%22	http://huda-matte.com/files/_fonts/museo_sans/small/subset-MuseoSansCyrl-300.woff2	/home/abbyz/websites/HUDA%20BEAUTY%20LIQUID%202/web/images/subset-museosanscyrl-300.woff2	(from http://huda-matte.com/files/_fonts/museo_sans/styles.css)
13:27:54	24731/24731	URF---	200	added ('OK%20(cached)')	image/jpeg		http://huda-matte.com/files/huda_beauty_1/img/ph-1.jpg	/home/abbyz/websites/HUDA%20BEAUTY%20LIQUID%202/web/images/ph-1.jpg	(from http://huda-matte.com/)
13:27:55	27593/27593	URF---	200	added ('OK%20(cached)')	image/jpeg		http://huda-matte.com/files/huda_beauty_1/img/ph-4.jpg	/home/abbyz/websites/HUDA%20BEAUTY%20LIQUID%202/web/images/ph-4.jpg	(from http://huda-matte.com/)
13:27:55	18686/18686	URF---	200	added ('OK%20(cached)')	image/jpeg		http://huda-matte.com/files/huda_beauty_1/img/ph-3.jpg	/home/abbyz/websites/HUDA%20BEAUTY%20LIQUID%202/web/images/ph-3.jpg	(from http://huda-matte.com/)
13:27:55	26258/26258	URF---	200	added ('OK%20(cached)')	image/jpeg		http://huda-matte.com/files/huda_beauty_1/img/ph-2.jpg	/home/abbyz/websites/HUDA%20BEAUTY%20LIQUID%202/web/images/ph-2.jpg	(from http://huda-matte.com/)
13:27:55	11687/11687	URF---	200	added ('OK%20(cached)')	image/jpeg		http://huda-matte.com/files/huda_beauty_1/img/rev-1.jpg	/home/abbyz/websites/HUDA%20BEAUTY%20LIQUID%202/web/images/rev-1.jpg	(from http://huda-matte.com/)
13:28:02	24528/24528	---M--	200	added ('OK')	application/font-woff	etag:%225a16c4f0-5fd0%22	http://huda-matte.com/files/_fonts/museo_sans/small/subset-MuseoSansCyrl-300.woff	/home/abbyz/websites/HUDA%20BEAUTY%20LIQUID%202/web/images/subset-museosanscyrl-300.woff	(from http://huda-matte.com/files/_fonts/museo_sans/styles.css)
13:28:03	11969/11969	URF---	200	added ('OK%20(cached)')	image/jpeg		http://huda-matte.com/files/huda_beauty_1/img/rev-2.jpg	/home/abbyz/websites/HUDA%20BEAUTY%20LIQUID%202/web/images/rev-2.jpg	(from http://huda-matte.com/)
13:28:03	11212/11212	URF---	200	added ('OK%20(cached)')	image/jpeg		http://huda-matte.com/files/huda_beauty_1/img/rev-3.jpg	/home/abbyz/websites/HUDA%20BEAUTY%20LIQUID%202/web/images/rev-3.jpg	(from http://huda-matte.com/)
13:28:03	3218/3218	URF---	200	added ('OK%20(cached)')	image/png		http://huda-matte.com/files/_blocks/copyright/img/rekv.png	/home/abbyz/websites/HUDA%20BEAUTY%20LIQUID%202/web/images/rekv.png	(from http://huda-matte.com/)
13:28:03	1628/1628	URF---	200	added ('OK%20(cached)')	image/jpeg		http://huda-matte.com/files/_blocks/copyright/img/logo.jpg	/home/abbyz/websites/HUDA%20BEAUTY%20LIQUID%202/web/images/logo.jpg	(from http://huda-matte.com/)
13:28:04	24528/24528	URF---	200	added ('OK%20(cached)')	application/woff		http://huda-matte.com/files/_fonts/museo_sans/small/subset-MuseoSansCyrl-300.woff	/home/abbyz/websites/HUDA%20BEAUTY%20LIQUID%202/web/images/subset-museosanscyrl-300.woff	(from http://huda-matte.com/files/_fonts/museo_sans/styles.css)
